Receipt Index,Date,Name,Comment,Currency,Price,Category Name,Category Code,Exchange Rate,Price (Exchanged)
1,07/01/21,Beginning Balance,Beginning Balance,MZN,7281.05,BF - Deposit,BF - DEP,1,7281.05
2,07/01/21,EDM EP,Electricity,MZN,-400.00,BF - Utilities,BF - UTL,1,-400.00
3,07/07/21,V-Mart,Espresso Beans,MZN,-1825.00,BF - Grocery & Other Supplies,BF - SUPP,1,-1825.00
4,07/11/21,Tx from Kitty,Tx from Kitty,MZN,5545.00,BF - Deposit,BF - DEP,1,5545.00
5,07/19/21,Tx from Kitty,Tx from Kitty,MZN,537.00,BF - Deposit,BF - DEP,1,537.00
6,07/21/21,Carne Osso,Cow meat,MZN,-927.00,BF - Grocery & Other Supplies,BF - SUPP,1,-927.00
7,07/21/21,Machavenga LDA,"Apples, carrots, jalapeño, salad, tomato purée, onions, black pepper, garlic",MZN,-1786.00,BF - Grocery & Other Supplies,BF - SUPP,1,-1786.00
8,07/21/21,Machavenga LDA,Minced meat,MZN,-520.00,BF - Grocery & Other Supplies,BF - SUPP,1,-520.00
9,07/23/21,Woolworths Maputo,Espresso Beans,MZN,-1364.00,BF - Grocery & Other Supplies,BF - SUPP,1,-1364.00
10,07/25/21,Tx from Kitty,Tx from Kitty,MZN,75.00,BF - Deposit,BF - DEP,1,75.00
11,07/26/21,EDM,Electricity,MZN,-1000.00,BF - Utilities,BF - UTL,1,-1000.00
12,07/27/21,Machavenga LDA,Sausage meat potatoes tomato juice lemons basil beans tyme spinach onions bread,MZN,-2963.00,BF - Grocery & Other Supplies,BF - SUPP,1,-2963.00
13,07/28/21,Tx from Kitty,Tx From kitty,MZN,1767.00,BF - Deposit,BF - DEP,1,1767.00
14,07/28/21,Machavenga LDA,Salad pack,MZN,-148.00,BF - Grocery & Other Supplies,BF - SUPP,1,-148.00
15,07/28/21,Central Market,6x tomatoes,MZN,-50.00,BF - Grocery & Other Supplies,BF - SUPP,1,-50.00
16,07/29/21,EDM,Electricity,MZN,-500.00,BF - Utilities,BF - UTL,1,-500.00
17,07/29/21,Comércio Azul LDA,"Chocolate, toilet paper, napkins, rice, soap",MZN,-3051.00,BF - Grocery & Other Supplies,BF - SUPP,1,-3051.00
18,07/31/21,Tx from Kitty,Tx from kitty,MZN,1613.00,BF - Deposit,BF - DEP,1,1613.00
19,07/31/21,Closing Balance,Closing Balance,MZN,-2284.05,BF - Deposit,BF - DEP,1,-2284.05

 
