Receipt Index,Date,Name,Price,Currency,Exchange Rate,Price (Exchanged),Category Name,Category Code,Comment
1,05/01/21,Beginning Balance,4851.55,MZN,1,4851.55,BF - Deposit,BF - DEP,Beginning balance
2,05/04/21,Woolworths,-1400.00,MZN,1,-1400.00,BF - Grocery & Other Supplies,BF - SUPP,Espresso beans - 1kg
3,05/09/21,Tx from Kitty,125.00,MZN,1,125.00,BF - Deposit,BF - DEP,Tx from Kitty
4,05/11/21,Wang Rong,-1305.00,MZN,1,-1305.00,BF - Grocery & Other Supplies,BF - SUPP,"Washing powder, toilet paper, dish soap, napkins"
5,05/15/21,Tx from Kitty,50.00,MZN,1,50.00,BF - Deposit,BF - DEP,To from kitty
6,05/23/21,Tx from Kitty,1039.00,MZN,1,1039.00,BF - Deposit,BF - DEP,Tx from Kitty
7,05/25/21,Tx from Kitty,881.00,MZN,1,881.00,BF - Deposit,BF - DEP,Tx from kitty
8,05/31/21,Comércio Azul LDA,-1128.00,MZN,1,-1128.00,BF - Grocery & Other Supplies,BF - SUPP,"Olive oil, Worcestershire, Dijon"
9,05/31/21,Closing Balance,-3113.55,MZN,1,-3113.55,BF - Deposit,BF - DEP,Closing balance

 
